regionCd,regionNm,YEARMONTH,volume
29000,광주,201402,4456
29000,광주,201403,3886
29000,광주,201404,4594
29000,광주,201405,3463
29000,광주,201406,3968
29000,광주,201407,5872
29000,광주,201408,4346
29000,광주,201409,5175
29000,광주,201410,5151
29000,광주,201411,4682
29000,광주,201412,3664
29000,광주,201501,4815
29000,광주,201502,4562
29000,광주,201503,5412
29000,광주,201504,6005
29000,광주,201505,4544
29000,광주,201506,3482
29000,광주,201507,2908
29000,광주,201508,2826
29000,광주,201509,2760
29000,광주,201510,3198
29000,광주,201511,3286
29000,광주,201512,3114
29000,광주,201601,2148
29000,광주,201602,2208
29000,광주,201603,2743
29000,광주,201604,2837
29000,광주,201605,2751
29000,광주,201606,3049
29000,광주,201607,3243
29000,광주,201608,3320
29000,광주,201609,3185
29000,광주,201610,3577
29000,광주,201611,3431
29000,광주,201612,3645
29000,광주,201701,3058
29000,광주,201702,3245
29000,광주,201703,3324
29000,광주,201704,3504
29000,광주,201705,5442
29000,광주,201706,4224
29000,광주,201707,4109
29000,광주,201708,3689
29000,광주,201709,4396
29000,광주,201710,3643
29000,광주,201711,3646
29000,광주,201712,6386
29000,광주,201801,7835
29000,광주,201802,5114
29000,광주,201803,4332
29000,광주,201804,4018
29000,광주,201805,3292
29000,광주,201806,3469
29000,광주,201807,3445
29000,광주,201808,3403
29000,광주,201809,3943
29000,광주,201810,5138
29000,광주,201811,3435
29000,광주,201812,3368
29000,광주,201901,2605
29000,광주,201902,2582
29000,광주,201903,3271
30000,대전,200601,2112
30000,대전,200602,3072
30000,대전,200603,5838
30000,대전,200604,3123
30000,대전,200605,2219
30000,대전,200606,1592
30000,대전,200607,1695
30000,대전,200608,1555
30000,대전,200609,3429
30000,대전,200610,2444
30000,대전,200611,2767
30000,대전,200612,2323
30000,대전,200701,2222
30000,대전,200702,2826
30000,대전,200703,3202
30000,대전,200704,1933
30000,대전,200705,1399
30000,대전,200706,1483
30000,대전,200707,1835
30000,대전,200708,2472
30000,대전,200709,1422
30000,대전,200710,1813
30000,대전,200711,2411
30000,대전,200712,2076
30000,대전,200801,2515
30000,대전,200802,2947
30000,대전,200803,3155
30000,대전,200804,2467
30000,대전,200805,2059
30000,대전,200806,2283
30000,대전,200807,2421
30000,대전,200808,2126
30000,대전,200809,2195
30000,대전,200810,1903
30000,대전,200811,1596
30000,대전,200812,1465
30000,대전,200901,1413
30000,대전,200902,1988
30000,대전,200903,2985
30000,대전,200904,2252
30000,대전,200905,2170
30000,대전,200906,2618
30000,대전,200907,2633
30000,대전,200908,2644
30000,대전,200909,3472
30000,대전,200910,2929
30000,대전,200911,2934
30000,대전,200912,2648
30000,대전,201001,2084
30000,대전,201002,2658
30000,대전,201003,2672
30000,대전,201004,2222
30000,대전,201005,1933
30000,대전,201006,2054
30000,대전,201007,2287
30000,대전,201008,2596
30000,대전,201009,2756
30000,대전,201010,3161
30000,대전,201011,3947
30000,대전,201012,4249
30000,대전,201101,3014
30000,대전,201102,3159
30000,대전,201103,3662
30000,대전,201104,2656
30000,대전,201105,2516
30000,대전,201106,3746
30000,대전,201107,3986
30000,대전,201108,3520
30000,대전,201109,3140
30000,대전,201110,3404
30000,대전,201111,3651
30000,대전,201112,6184
30000,대전,201201,3327
30000,대전,201202,2754
30000,대전,201203,2989
30000,대전,201204,1660
30000,대전,201205,1674
30000,대전,201206,1910
30000,대전,201207,1948
30000,대전,201208,1695
30000,대전,201209,1337
30000,대전,201210,2340
30000,대전,201211,2429
30000,대전,201212,3072
30000,대전,201301,975
30000,대전,201302,1654
30000,대전,201303,2178
30000,대전,201304,2142
30000,대전,201305,2557
30000,대전,201306,3586
30000,대전,201307,1790
30000,대전,201308,1709
30000,대전,201309,1940
30000,대전,201310,3496
30000,대전,201311,4323
30000,대전,201312,3387
30000,대전,201401,2211
30000,대전,201402,3079
30000,대전,201403,3677
30000,대전,201404,3558
30000,대전,201405,2848
30000,대전,201406,2432
30000,대전,201407,2778
30000,대전,201408,2775
30000,대전,201409,3038
30000,대전,201410,3762
30000,대전,201411,2960
30000,대전,201412,2949
30000,대전,201501,2852
30000,대전,201502,2800
30000,대전,201503,2916
30000,대전,201504,2539
30000,대전,201505,2061
30000,대전,201506,2272
30000,대전,201507,3170
30000,대전,201508,2470
30000,대전,201509,2339
30000,대전,201510,3030
30000,대전,201511,2439
30000,대전,201512,2851
30000,대전,201601,2015
30000,대전,201602,2089
30000,대전,201603,2268
30000,대전,201604,2219
30000,대전,201605,2377
30000,대전,201606,2399
30000,대전,201607,2884
30000,대전,201608,2950
30000,대전,201609,2745
30000,대전,201610,3557
30000,대전,201611,3498
30000,대전,201612,3203
30000,대전,201701,2348
30000,대전,201702,2324
30000,대전,201703,3944
30000,대전,201704,2698
30000,대전,201705,2723
30000,대전,201706,3211
30000,대전,201707,3032
30000,대전,201708,3304
30000,대전,201709,3532
30000,대전,201710,3169
30000,대전,201711,2913
30000,대전,201712,2426
30000,대전,201801,3763
30000,대전,201802,4490
30000,대전,201803,2676
30000,대전,201804,2635
30000,대전,201805,3106
30000,대전,201806,2674
30000,대전,201807,2456
30000,대전,201808,3067
30000,대전,201809,4804
30000,대전,201810,3962
30000,대전,201811,3766
30000,대전,201812,3162
30000,대전,201901,4012
30000,대전,201902,1921
30000,대전,201903,2310
31000,울산,200601,1435
31000,울산,200602,2388
31000,울산,200603,2531
31000,울산,200604,2479
31000,울산,200605,2927
